subject_id,condition,p1_amp,p1_lat_ms,n_epochs,n1_amp,n1_lat_ms,p2p_amp
22,Ratio 0.67 (2:3),-2.360751116640679,92.0,26,-4.053750838958086,144.0,1.6929997223174071
22,Ratio 0.75 (3:4),0.503543411544381,92.0,14,-5.024884463464392,144.0,5.528427875008774
22,Ratio 0.8 (4:5),-0.66033307068755,92.0,12,-7.7544842422514195,144.0,7.09415117156387
22,Ratio 0.83 (5:6),3.824640747441829,92.0,12,-6.88417738486787,156.0,10.708818132309698
23,Ratio 0.5 (1:2),0.25992261209417533,108.0,45,-9.307457423408682,172.0,9.567380035502858
23,Ratio 0.67 (2:3),-0.10700040261422163,112.0,24,-9.545519394986957,172.0,9.438518992372735
23,Ratio 0.75 (3:4),0.5953363447454044,92.0,15,-9.154169222989028,160.0,9.749505567734433
23,Ratio 0.8 (4:5),2.0138069199805524,92.0,15,-9.716860531135286,160.0,11.730667451115838
23,Ratio 0.83 (5:6),3.322317880277494,96.0,11,-7.754651273624855,156.0,11.076969153902349
25,Ratio 0.5 (1:2),-0.18772841570264098,92.0,34,-9.000061743960895,152.0,8.812333328258255
25,Ratio 0.67 (2:3),-0.6153712534712364,92.0,24,-9.869806806602575,144.0,9.254435553131339
25,Ratio 0.75 (3:4),2.3839048846603896,92.0,13,-7.678424769557803,144.0,10.062329654218193
25,Ratio 0.8 (4:5),-1.4483372632238254,92.0,13,-10.70824588172741,144.0,9.259908618503585
25,Ratio 0.83 (5:6),3.001559158595139,92.0,10,-8.684482406852675,144.0,11.686041565447814
26,Ratio 0.5 (1:2),1.0956232650168647,100.0,38,-5.502764101112309,172.0,6.598387366129174
26,Ratio 0.67 (2:3),0.578994719795787,92.0,25,-6.3306914550242,184.0,6.909686174819988
26,Ratio 0.75 (3:4),1.7520060723189466,104.0,15,-4.624385861879507,164.0,6.376391934198454
26,Ratio 0.8 (4:5),0.8171600816231798,92.0,15,-4.580796921354313,176.0,5.397957002977493
26,Ratio 0.83 (5:6),0.888994189580565,92.0,16,-5.318300907113259,180.0,6.207295096693824
27,Ratio 0.5 (1:2),1.4506241716765493,112.0,42,-1.96888772181732,176.0,3.419511893493869
27,Ratio 0.67 (2:3),0.4764957050945545,108.0,28,-2.009161395049178,180.0,2.4856571001437326
27,Ratio 0.75 (3:4),-1.1313521700998928,92.0,13,-3.434031845229955,168.0,2.3026796751300624
